procuringEntity.id,ocid,nf016
EC-RUC-1960000620001-38149,ocds-5wno2w-LICO-GADMY-2019-006-38149,1
EC-RUC-1260002190001-21126,ocds-5wno2w-CE-20220002141585-137276,1
EC-RUC-0360000310001-99459,ocds-5wno2w-CE-20210002062053-904329,1
EC-RUC-0760000500001-58534,ocds-5wno2w-LICO-GADMEG-001-2021-58534,1
EC-RUC-1790053881001-3214,ocds-5wno2w-CE-20210002104672-5702,1
EC-RUC-0968580510001-30375,ocds-5wno2w-LICO-GADPSE-01-2020-30375,1
EC-RUC-0960000490001-44718,ocds-5wno2w-CE-20210002062537-95605,1
EC-RUC-1768187430001-770288,ocds-5wno2w-LICO-002-IKIAMEP-201-770288,1
EC-RUC-1560000430001-2741,ocds-5wno2w-SIE-UVPSUTA-003-2021-170257,1
EC-RUC-0960001540001-4081,ocds-5wno2w-LICO-IMSE-008-2020-4081,1
EC-RUC-1865030070001-545597,ocds-5wno2w-CE-20220002227339-3205,1
EC-RUC-0960000490001-44718,ocds-5wno2w-CE-20220002222670-575768,1
EC-RUC-1560000510001-91040,ocds-5wno2w-LICO-GADMLA-2021-001-91040,1
EC-RUC-0360000580001-94877,ocds-5wno2w-LICO-GADICC-001-2021-94877,1
EC-RUC-0960000220001-44856,ocds-5wno2w-MCO-GFE26-2021-002-133736,1
EC-RUC-0960001890001-94742,ocds-5wno2w-LICO-GADMCD-2019-002-94742,1
EC-RUC-1768152800001-238940,ocds-5wno2w-RE-GADPS-011-2021-3277,1
EC-RUC-1460001770001-32457,ocds-5wno2w-RE-EPMTPQ-002-2021-282215,1
EC-RUC-0190003809001-56835,ocds-5wno2w-SIE-CELEGU-192A-2022-238940,1
EC-RUC-1360011160001-49817,ocds-5wno2w-LICO-CBP-2019-003-49817,1
EC-RUC-0960001890001-94742,ocds-5wno2w-CE-20220002178189-69973,1
EC-RUC-0960000220001-44856,ocds-5wno2w-LICO-MIMG-014-2020-44856,1
EC-RUC-0960006850001-22241,ocds-5wno2w-CE-20210002053076-105667,1
EC-RUC-2160000480001-55680,ocds-5wno2w-CE-20210002120625-596700,1
EC-RUC-0968504920001-11080,ocds-5wno2w-LCO-002-HMHP-2019-11080,1
EC-RUC-0968595970001-439831,ocds-5wno2w-SIE-IESSCPSSCG-03-21-39594,1
EC-RUC-0960006340001-35945,ocds-5wno2w-CE-20220002248064-2618,1
EC-RUC-1768153530001-253178,ocds-5wno2w-LO-EPP-2018896-1-20-253178,1
EC-RUC-1860000210001-2161,ocds-5wno2w-CE-20210002048839-93889,1
EC-RUC-0960000220001-44856,ocds-5wno2w-LICO-MIMG-014-2019-44856,1
EC-RUC-2160000210001-3277,ocds-5wno2w-CE-20210002057786-34542,1
EC-RUC-1160836120001-2479,ocds-5wno2w-LICO-GADMCH-01-2019-2479,1
EC-RUC-1360084470001-590564,ocds-5wno2w-EPMUVI-LICO-2021-01-590564,1
EC-RUC-1360000470001-43412,ocds-5wno2w-LICO-GADMCH002-2020-43412,1
EC-RUC-1360000470001-43412,ocds-5wno2w-LICO-GADMCH-001-2020-43412,1
EC-RUC-0190167453001-3217,ocds-5wno2w-CE-20210002048311-54082,1
EC-RUC-1560000430001-2741,ocds-5wno2w-LICO-GADMAR-02-2019-2741,1
EC-RUC-0968504920001-11080,ocds-5wno2w-CE-20220002273109-57617,1
EC-RUC-1790053881001-3214,ocds-5wno2w-RE-HPAS-002-2021-29340,1
